year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1929;10;;Ohio;United States;Continental Air Lines;Cleveland - Louisville;Stearman C-38;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;10;;Washington;United States;Bremerton-Seattle Air Taxi / Gorst Air Lines;Bremerton - Seattle;Loening C-2C;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1929;11;7.0;;Mexico;Corp. Aeronautica de Transportes;Matamoros - Mexico City - Juarez;Lockheed Vega 5;4.0;3.0;1.0;4.0;3.0;1.0;0.0
1929;11;10.0;;;Deutsche Lufthansa;Croyden - Amsterdam - Berlin;Junkers G-24;8.0;4.0;4.0;7.0;3.0;4.0;0.0
1929;11;9.0;;France;Air Union;Marseille - Ajaccio - Tunis;Liore et Olivier 190;3.0;0.0;3.0;3.0;0.0;3.0;0.0
1929;11;;;;S.A.M. Società Aerea Mediterranea;Cagliari, Terranova - Rome;Savoia Marchetti S55;12.0;9.0;3.0;1.0;1.0;0.0;0.0
1929;11;;Washington;United States;Varney Air Lines;;Stearman M-2 Speedmail;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;12;;Ohio;United States;National Air Transport;;Douglas M-3;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;12;;;Germany;Deutsche Lufthansa;Marseille - Berlin;Arado V1;3.0;0.0;2.0;2.0;0.0;2.0;0.0
1929;12;;Texas;United States;Trans Continental Air Transport;Demonistration;Travel Air B6000;5.0;3.0;2.0;5.0;3.0;2.0;0.0
1930;1;;Nebraska;United States;Boeing Air Transport;;Boeing 95;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1930;1;;;Madagascar;Air Orient;Antananarivo - Paris;Farman 190;3.0;0.0;3.0;3.0;0.0;3.0;0.0
1930;1;18.0;California;United States;Maddux Airlines;Aqua Caliente, Mexico - Los Angeles;Ford 5-AT-C Tri Motor;16.0;14.0;2.0;16.0;14.0;2.0;0.0
1930;1;;;Spain;Aeropostale;Casablanca - Alicante;Latecoere 25;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1930;1;17.0;Missouri;United States;Central  Airlines (Universal Aviation Corporation);Wichita - Kansas City, KS;Travel Air A6000A;5.0;4.0;1.0;5.0;4.0;1.0;0.0
1930;2;;Connecticut;United States;Colonial Air Transport;Newark, NJ - Hartford, CT;Pitcairn PA-6 Mailwing;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1930;2;;;;Air Union;Paris - Croydon;Farman F-63;6.0;3.0;3.0;2.0;2.0;0.0;0.0
1930;4;;New Jersey;United States;Canadian Colonial Airways;Albany, NY - Jersey City, NJ;Fairchild 71;4.0;3.0;1.0;4.0;3.0;1.0;0.0
1930;5;;;Argentina;Aeropostale;Buenos Aires - Montevideo;Latecoere 28;4.0;2.0;2.0;3.0;1.0;2.0;0.0
1930;6;;Massachusetts;United States;Colonial Air Transport;Boston - Newark;Ford Tri-Motor 5;15.0;13.0;2.0;1.0;1.0;0.0;0.0
1930;7;;;Denmark;Deutsche Lufthansa;Stettin - Norway;Dornier Wal;8.0;5.0;3.0;5.0;4.0;1.0;0.0
1930;7;;Texas;United States;Cross Airways;Port Aransas - Kansas City;Lockheed Vega 5;5.0;4.0;1.0;5.0;4.0;1.0;0.0
